id,source,date,totalArticles,totalPages,pagesRetrieved,startAt,createdAt,updatedAt
99,usa-today,2018-06-05,504,5,5,"2018-06-05 15:02:00","2018-06-06 17:52:33","2018-06-06 21:49:54"
110,the-guardian-uk,2018-06-04,632,6,6,"2018-06-04 12:28:00","2018-06-06 18:21:03","2018-06-06 21:31:55"
122,cbs-news,2018-06-05,212,2,2,"2018-06-05 15:23:00","2018-06-06 19:46:33","2018-06-06 21:24:24"
126,fox-news,2018-06-05,234,2,2,"2018-06-05 20:34:00","2018-06-06 20:55:54","2018-06-06 21:42:24"
127,the-hill,2018-06-05,232,2,2,"2018-06-05 16:00:00","2018-06-06 21:01:54","2018-06-06 21:48:24"
130,business-insider,2018-06-05,236,2,1,"2018-06-05 21:06:00","2018-06-06 21:28:54","2018-06-06 21:28:54"
131,abc-news,2018-06-05,249,2,1,"2018-06-05 23:45:00","2018-06-06 22:06:25","2018-06-06 22:06:25"
